,α12264,ἀπογραφεύς,n,n-s---mn3v,ἀπογραφέως,,,,,0
16367,α16835,ἄτυφος,a,aps---cn2-,ἄτυφος ἄτυφος ἄτυφον,,,,,0
16368,α16836,ἀτύφωτος,a,aps---cn2-,ἀτύφωτος ἀτύφωτος ἀτύφωτον,,,,,0
16369,α16837,ἀτυχέω,v,----------,,,,,,0
16370,α16838,ἀτύχημα,n,n-s---nn3t,ἀτυχήματος,,,,,0
16371,α16839,ἀτυχής,a,aps---cn5s,ἀτυχής ἀτυχής ἀτυχές,,,,,0
16372,α16679,ἀτῶμαι,v,----------,,,,,,0
16373,α00010,αὖ,r,----------,,,,/áu̯/,,0
16374,α00011,αὗ,n,----------,,,,,,0
16375,,Αὑαίνου,n,----------,,,,,,0
16376,α00018,αὐαίνω,v,----------,,,,,,0
16378,α00023,αὔανσις,n,n-s---fn3v,αὐανσέως,,,,,0
16379,α00024,αὐαντή,n,n-s---fn1e,αὐαντῆς,,,,,0
16380,,Αὔασις,n,----------,,,,,,0
16381,α00025,αὐασμός,n,----------,,,,,,0
16382,α16840,ἀυάτα,n,----------,,,,,,0
16383,α00031,αὐγάζω,v,----------,,,,,,0
16384,α00034,αὔγασμα,n,n-s---nn3t,αὐγάσματος,,,,,0
16385,α00035,αὐγασμός,n,----------,,,,,,0
16387,α00038,αὔγειον,n,n-s---nn2-,αὐγείου,,,,,0
16388,α00047,αὐγέω,v,----------,,,,,,0
16389,α00048,αὐγή,n,n-s---fn1e,αὐγῆς,,,/au̯.ɡɛ̌ː/,,0
16390,α00049,αὐγήεις,a,aps---mn4i,αὐγήεις αὐγήεσσα αὐγήεν,,,,,0
16391,α00052,αὐγής,a,aps---cn5s,αὐγής αὐγής αὐγές,,,,,0
16392,α00086,αὔγιον,n,n-s---nn2-,αὐγίου,,,,,0
16393,α00091,αὐγίτης,n,----------,,,,,,0
16394,α00104,αὐγοειδής,a,aps---cn5s,αὐγοειδής αὐγοειδής αὐγοειδές,,,,,0
16395,α00121,αὖγος,n,n-s---nn3v,αὖγεος,,,,,0
16396,,Αὔγουστος,n,n-s---mn2-,Αὐγούστου,,,/aú̯.ɡoːs.tos/,,0
16397,,Αὐγώ,n,----------,,,,,,0
16398,α00134,αὐδάζομαι,v,----------,,,,,,0
16399,α00135,αὐδάω,v,----------,,,,/au̯.dá.ɔː/,,0
16402,α16841,ἀϋδρία,n,n-s---fn1l,ἀϋδρίας,,,,,0
16403,α16842,ἄϋδρος,a,aps---cn2-,ἄϋδρος ἄϋδρος ἄϋδρον,,,,,0
16404,,Αὐδυναῖος,n,n-s---mn2-,Αὐδυναίου,,,,,0
16350,α16822,ἀττικοπέρδιξ,n,----------,,,,,,0
16407,α00167,αὔερος,n,----------,,,,,,0
16408,α00168,αὐερύω,v,----------,,,,,,0
16409,α00171,αὐετής,n,----------,,,,,,0
16410,α00182,αὔηρ,n,----------,,,,,,0
16411,α00183,αὐηρός,a,aps---mn1-,αὐηρός αὐηρά αὐηρόν,,,,,0
16412,α00186,αὐθάγιος,r,----------,,,,,,0
16413,α00187,αὐθάδεια,n,----------,,,,,,0
16414,α00189,αὐθαδία,n,n-s---fn1l,αὐθαδίας,,,,,0
16416,α00190,αὐθαδιάζομαι,v,----------,,,,,,0
16417,α00191,αὐθαδίζομαι,v,----------,,,,,,0
16418,α00192,αὐθαδικός,a,aps---mn1-,αὐθαδικός αὐθαδική αὐθαδικόν,,,,,0
16419,α00193,αὐθάδισμα,n,n-s---nn3t,αὐθαδίσματος,,,,,0
16421,α00195,αὐθαίμων,a,aps---cn3n,αὐθαίμων αὐθαίμων αὐθαίμον,,,,,0
16423,α00209,αὖθε,n,----------,,,,,,0
16424,α00210,αὐθέδραστος,a,aps---cn2-,αὐθέδραστος αὐθέδραστος αὐθέδραστον,,,,,0
16425,α00211,αὐθέκαστος,a,aps---cn2-,αὐθέκαστος αὐθέκαστος αὐθέκαστον,,,,,0
16426,α00212,αὐθεκαστότης,n,n-s---fn3t,αὐθεκαστότητος,,,,,0
16427,α00213,αὐθεντέω,v,----------,,,,,,0
16428,α00214,αὐθέντης,n,n-s---mn1e,αὐθέντου,,,/au̯.tʰén.tɛːs/,,0
16429,α00215,αὐθεντία,n,n-s---fn1l,αὐθεντίας,,,,,0
16430,α00216,αὐθεντίζω,v,----------,,,,,,0
16432,α00218,αὐθέντρια,n,n-s---fn1s,αὐθέντριας,,,,,0
16434,α00235,αὐθέψης,n,n-s---mn1e,αὐθέψου,,,,,0
16435,α00237,αὐθημερεί,r,----------,,,,,,0
16436,α00238,αὐθημερίζω,v,----------,,,,,,0
16437,α00239,αὐθημερινός,a,aps---mn1-,αὐθημερινός αὐθημερινή αὐθημερινόν,,,,,0
16438,α00240,αὐθήμερος,a,aps---cn2-,αὐθήμερος αὐθήμερος αὐθήμερον,,,,,0
16439,α00243,αὖθι,r,----------,,,,/áu̯.tʰi/,,0
16440,α00244,αὐθιγενής,a,aps---cn5s,αὐθιγενής αὐθιγενής αὐθιγενές,,,,,0
16441,α00246,αὖθις,r,rp--------,αὖθις,,,,,0
16442,α00247,αὐθιτελής,a,aps---cn5s,αὐθιτελής αὐθιτελής αὐθιτελές,,,,,0
16443,α00249,αὐθόμαιμος,n,----------,,,,,,0
16444,α00250,αὐθομολογέομαι,v,----------,,,,,,0
16446,α00283,αὐθύπαρκτος,a,aps---cn2-,αὐθύπαρκτος αὐθύπαρκτος αὐθύπαρκτον,,,,,0
16447,α00284,αὐθυπόστατος,a,aps---cn2-,αὐθυπόστατος αὐθυπόστατος αὐθυπόστατον,,,,,0
16448,α00285,αὐθυπότακτος,n,n-s---mn2-,αὐθυποτάκτου,,,,,0
16449,α00290,αὐθωρός,a,aps---cn2-,αὐθωρός αὐθωρός αὐθυπόστατον,,,,,0
16450,α00291,αὐί̈αχος,v,----------,,,,,,0
16451,α00292,αὐίδετος,a,----------,,,,,,0
16452,α00318,αὐλαϝυδός,n,----------,,,,,,0
16453,α00307,αὐλαία,n,n-s---fn1l,αὐλαίας,,,,,0
16454,α00316,αὐλαῖος,a,aps---mn1-,αὐλαῖος αὐλαῖα αὐλαῖον,,,,,0
16455,α00308,αὐλακεργάτης,n,n-s---mn1e,αὐλακεργάτου,,,,,0
16406,α00166,αὐεοῦλλαι,n,----------,,,,,,0
16459,α00312,αὐλακόεις,a,aps---mn4i,αὐλακόεις αὐλακόεσσα αὐλακόεν,,,,,0
16460,α00313,αὐλακοτομέω,v,----------,,,,,,0
16461,α00314,αὐλακώδης,a,aps---cn3s,αὐλακώδης αὐλακώδης αὐλακώ͂δες,,,,,0
16462,α00315,αὖλαξ,n,n-s---fn3v,,,,/áu̯.laks/,,0
16463,α00317,αὐλάρχης,n,n-s---cn1e,αὐλάρχου,,,,,0
16464,α00323,αὐλεία,n,n-s---fn1l,αὐλείας,,,,,0
16466,α00325,αὐλείτης,n,n-s---mn1e,αὐλείτου,,,,,0
16467,α00326,αὐλέω,v,----------,,,,/au̯.lé.ɔː/,,0
16468,α00327,αὐλή,n,n-s---fn1e,αὐλῆς,,,/au̯.lɛ̌ː/,,0
16469,α00328,αὔλημα,n,n-s---nn3t,αὐλήματος,,,,,0
16470,α00329,αὔληρα,n,n-p---nn2-,αὐλήρων,,,,,0
16471,α00330,αὔλησις,n,n-s---fn3v,αὐλησέως,,,,,0
16472,α00331,αὐλητήρ,n,n-s---mn3r,αὐλητῆρος,,,,,0
16474,α00334,αὐλητής,n,n-s---mn1e,αὐλητού,,,,,0
16475,α00333,αὐλήτης,n,n-s---mn1e,αὐλήτου,,,,,0
16476,α00335,αὐλητικός,a,aps---mn1-,αὐλητικός αὐλητική αὐλητικόν,,,,,0
16477,α00336,αὐλήτρια,n,n-s---fn1s,αὐλήτριας,,,,,0
16478,α00337,αὐλητρίδιον,n,n-s---nn2-,αὐλητριδίου,,,,,0
16479,α00338,αὐλητρίς,n,n-s---fn3d,αὐλητρίδος,,,/au̯.lɛː.trís/,,0
16480,α16843,ἀϋλία,n,n-s---fn1l,ἀϋλίας,,,,,0
16481,α00339,αὐλιάδες,n,----------,,,,,,0
16482,α00340,αὐλίδιον,n,n-s---nn2-,αὐλιδίου,,,,,0
16484,α00342,αὐλίζομαι,v,----------,,,,,,0
16485,α00344,αὐλικός,a,aps---mn1-,αὐλικός αὐλική αὐλικόν,,,,,0
16486,α00347,αὔλιον,n,n-s---nn2-,αὐλίου,,,,,0
16487,α00348,αὔλιος,a,aps---mn1-,αὔλιος αὔλια αὔλιον,,,,,0
16488,α00349,αὖλις,n,n-s---fn3d,αὔλιδος,,,,,0
16489,α00350,αὔλισις,n,n-s---fn3v,αὐλισέως,,,,,0
16490,α00351,αὐλίσκος,n,n-s---mn2-,αὐλίσκου,,,,,0
16491,α00352,αὔλισμα,n,n-s---nn3t,αὐλίσματος,,,,,0
16492,α00353,αὐλισμός,n,----------,,,,,,0
16494,α00355,αὐλιστήριον,n,n-s---nn2-,αὐλιστηρίου,,,,,0
16495,α00356,αὐλίτης,n,n-s---mn1e,αὐλίτου,,,,,0
16496,α00362,αὐλοβόας,n,----------,,,,,,0
16497,α00363,αὐλοδόκη,n,n-s---fn1e,αὐλοδόκης,,,,,0
16498,α00364,αὐλοθετέω,v,----------,,,,,,0
16500,α00366,αὐλομανέω,v,----------,,,,,,0
16502,α00368,αὐλομελῳδία,n,n-s---fn1l,αὐλομελῳδίας,,,,,0
16503,α00369,αὐλοποιί̈α,n,n-s---fn1l,αὐλοποιί̈ας,,,,,0
16504,α00370,αὐλοποιϊκή,r,----------,,,,,,0
16505,α00371,αὐλοποιός,n,----------,,,,,,0
16506,α00373,αὐλός,n,n-s---mn2-,αὐλοῦ,,,/au̯.lós/,,0
16507,α16844,ἄϋλος,a,----------,,,,,,0
16508,α00374,αὐλοστατέω,v,----------,,,,,,0
16509,α16845,ἀϋλότης,n,n-s---fn3t,ἀϋλότητος,,,,,0
16457,α00310,αὐλακισμός,n,----------,,,,,,0
16513,α00319,αὐλῳδέω,v,----------,,,,,,0
16514,α00320,αὐλῳδία,n,n-s---fn1l,αὐλῳδίας,,,,,0
16516,α00322,αὐλῳδός,n,----------,,,,,,0
16517,α00386,αὐλών,n,----------,,,,,,0
16518,,Αὐλωνεύς,n,n-s---mn3v,Αὐλωνέως,,,,,0
16520,α00388,αὐλωνίζω,v,----------,,,,,,0
16521,α00389,αὐλωνίσκος,n,n-s---mn2-,αὐλωνίσκου,,,,,0
16522,α00390,αὐλωνοειδής,a,aps---cn5s,αὐλωνοειδής αὐλωνοειδής αὐλωνοειδές,,,,,0
16523,α00391,αὐλωπίας,n,----------,,,,,,0
16524,α00385,αὐλῶπις,n,n-s---fn3d,αὐλώπιδος,,,,,0
16525,α00392,αὐλωπός,n,----------,,,,,,0
16527,α00518,αὐνή,n,n-s---fn1e,αὐνῆς,,,,,0
16528,α00579,αὐξάνιος,n,----------,,,,,,0
16529,α00580,αὐξάνω,v,----------,,,,/au̯k.sá.nɔː/,,0
16530,α00581,αὔξη,n,n-s---fn1e,αὔξης,,,,,0
16531,α00582,αὔξημα,n,n-s---nn3t,αὐξήματος,,,,,0
16532,α00583,αὐξηρός,a,aps---cn2-,αὐξηρός αὐξηρός αὐξηρόν,,,,,0
16533,α00584,αὐξησία,n,n-s---fn1l,αὐξησίας,,,,,0
16534,α00585,αὔξησις,n,n-s---fn3v,αὐξησέως,,,,,0
16535,α00586,αὐξησίφως,a,----------,,,,,,0
16536,α00587,αὐξητέον,a,----------,,,,,,0
16537,α00588,αὐξητής,n,n-s---mn1e,αὐξητού,,,,,0
16539,α00590,αὐξητός,a,aps---cn2-,αὐξητός αὐξητός αὐξητόν,,,,,0
16540,α00591,αὔξι,n,----------,,,,,,0
16541,α00592,αὐξίδημος,n,----------,,,,,,0
16543,α00594,αὐξικέρως,a,----------,,,,,,0
16544,α00595,αὔξιμος,a,aps---cn2-,αὔξιμος αὔξιμος αὔξιμον,,,,,0
16545,α00596,αὖξις,n,n-s---fn3v,αὔξεως,,,,,0
16546,α00597,αὐξίς,n,n-s---fn3d,αὐξίδος,,,,,0
16547,α00598,αὐξίτροφος,n,----------,,,,,,0
16548,α00599,αὐξιφαής,a,aps---cn5s,αὐξιφαής αὐξιφαής αὐξιφαές,,,,,0
16549,α00600,αὐξίφωνος,a,aps---cn2-,αὐξίφωνος αὐξίφωνος αὐξίφωνον,,,,,0
16550,α00601,αὐξιφωτέω,v,----------,,,,,,0
16551,α00602,αὐξιφωτία,n,n-s---fn1l,αὐξιφωτίας,,,,,0
16553,α00604,αὐξοβίος,n,----------,,,,,,0
16554,α00605,αὐξομειόω,v,----------,,,,,,0
16555,α00606,αὐξομείωσις,n,n-s---fn3v,αὐξομειωσέως,,,,,0
16556,α00607,αὐξοσέληνον,n,n-s---nn2-,αὐξοσελήνου,,,,,0
16557,α00608,αὐξύνω,v,----------,,,,,,0
16558,,Αὐξώ,n,n-s---fn3c,Αὐξοῦς,,,,,0
16559,α00609,αὔξω,v,----------,,,,/aú̯k.sɔː/,,0
16560,α00611,αὐόκωλος,a,aps---cn2-,αὐόκωλος αὐόκωλος αὐόκωλον,,,,,0
16561,α00647,αὐονή,n,----------,,,,,,0
16562,α00646,αὐονή,n,n-s---fn1e,αὐονῆς,,,,,0
16563,α00650,αὖος,a,----------,,,,,,0
16564,α00651,αὐότης,n,n-s---fn3t,αὐότητος,,,,,0
16565,α16846,ἀϋπνέω,v,----------,,,,,,0
16512,α00382,αὐλουρός,n,----------,,,,,,0
16570,α00690,αὔρηκτος,a,----------,,,,,,0
16571,α00692,αὖρι,n,----------,,,,,,0
16572,α00693,αὐριβάτης,n,n-s---mn1e,αὐριβάτου,,,,,0
16574,α00695,αὐρίζω,v,----------,,,,,,0
16575,α00697,αὐρινός,a,aps---mn1-,αὐρινός αὐρινή αὐρινόν,,,,,0
16576,α00698,αὔριον,r,rp--------,αὔριον,,,/aú̯.ri.on/,,0
16577,α00701,αὐροσχάς,n,n-s---fn3d,αὐροσχάδος,,,,,0
16578,α00702,αὐροφόρητος,a,aps---cn2-,αὐροφόρητος αὐροφόρητος αὐροφόρητον,,,,,0
16579,α00708,αὐσαυτοῦ,n,----------,,,,,,0
16580,α00726,αὔσιος,n,----------,,,,,,0
16581,α00728,αὖσις,n,n-s---fn3v,αὔσεως,,,,,0
16582,,Αὐσονία,n,,,,,/au̯.so.ní.aː/,,0
16583,α00733,αὐσταλέος,a,aps---mn1-,αὐσταλέος αὐσταλέα αὐσταλέον,,,,,0
16584,α00734,αὐστηρία,n,n-s---fn1l,αὐστηρίας,,,,,0
16586,α00736,αὐστηρός,a,aps---mn1-,,,,/au̯s.tɛː.rós/,,0
16587,α00737,αὐστηρότης,n,n-s---fn3t,αὐστηρότητος,,,,,0
16588,α00796,αὐτάγγελος,n,n-s---mn2-,αὐταγγέλου,,,,,0
16589,α00797,αὐτάγητος,a,----------,,,,,,0
16591,α00799,αὐτάγρετος,a,aps---cn2-,αὐτάγρετος αὐτάγρετος αὐτάγρετον,,,,,0
16592,α00800,αὐτάγρευτος,a,aps---cn2-,αὐτάγρευτος αὐτάγρευτος αὐτάγρευτον,,,,,0
16593,α00801,αὐτάδελφος,a,aps---mn1-,αὐτάδελφος αὐταδέλφη αὐτάδελφον,,,,,0
16595,α00803,αὐταμαρόν,n,----------,,,,,,0
16596,α00804,αὐτανδρί,r,----------,,,,,,0
16597,α00805,αὔτανδρος,a,aps---cn2-,αὔτανδρος αὔτανδρος αὔτανδρον,,,,,0
16598,α00806,αὐτανέψιος,n,n-s---mn2-,αὐτανεψίου,,,,,0
16599,α00807,αὐτάρ,c,----------,,,,,,0
16600,α00808,αὐταρέσκεια,n,n-s---fn1s,αὐταρέσκειας,,,,,0
16601,α00809,αὐταρεσκέω,v,----------,,,,,,0
16603,α00811,αὐτάρκεια,n,n-s---fn1s,αὐτάρκειας,,,/au̯.tár.keː.a/,,0
16604,α00812,αὐταρκεσία,n,n-s---fn1l,αὐταρκεσίας,,,,,0
16605,α00813,αὐταρκέω,v,----------,,,,,,0
16606,α00814,αὐτάρκης,a,aps---cn3s,αὐτάρκης αὐτάρκης αὐτάρκες,,,,,0
16607,α00815,αὐταρχέω,v,----------,,,,,,0
16609,α00818,αὐταύλης,n,n-s---mn1e,αὐταύλου,,,,,0
16610,α00820,αὐταυτόθεν,r,----------,,,,,,0
16611,α00819,αὐταυταῖς,n,----------,,,,,,0
16612,α00822,αὖτε,r,rp--------,αὖτε,,,/áu̯.te/,,0
16613,α00824,αὐτέγγυος,a,aps---cn2-,αὐτέγγυος αὐτέγγυος αὐτέγγυον,,,,,0
16614,α00823,αὐτεῖ,r,----------,,,,,,0
16615,α00825,αὐτέκμαγμα,n,n-s---nn3t,αὐτεκμάγματος,,,,,0
16616,α00826,αὐτενέργεια,n,n-s---fn1s,αὐτενέργειας,,,,,0
16618,α00828,αὐτενιαυτός,a,aps---cn2-,αὐτενιαυτός αὐτενιαυτός αὐτενιαυτόν,,,,,0
16569,α00674,αὔρα,n,n-s---fn1l,αὔρας,,,/aú̯.raː/,,0
16622,α00832,αὐτέπαινος,a,aps---cn2-,αὐτέπαινος αὐτέπαινος αὐτέπαινον,,,,,0
16624,α00834,αὐτεπίβουλος,a,aps---cn2-,αὐτεπίβουλος αὐτεπίβουλος αὐτεπίβουλον,,,,,0
16625,α00835,αὐτεπίσπαστος,a,aps---cn2-,αὐτεπίσπαστος αὐτεπίσπαστος αὐτεπίσπαστον,,,,,0
16626,α00836,αὐτεπιστατέω,v,----------,,,,,,0
16627,α00837,αὐτεπιστήμη,n,n-s---fn1e,αὐτεπιστήμης,,,,,0
16628,α00838,αὐτεπίστροφος,a,aps---cn2-,αὐτεπίστροφος αὐτεπίστροφος αὐτεπίστροφον,,,,,0
16629,α00839,αὐτεπιτάκτης,n,n-s---mn1e,αὐτεπιτάκτου,,,,,0
16631,α00841,αὐτεπίτακτος,a,aps---cn2-,αὐτεπίτακτος αὐτεπίτακτος αὐτεπίτακτον,,,,,0
16632,α00842,αὐτεπώνυμος,a,aps---cn2-,αὐτεπώνυμος αὐτεπώνυμος αὐτεπώνυμον,,,,,0
16633,α00843,αὐτερέτης,n,n-s---mn1e,αὐτερέτου,,,,,0
16634,α16850,ἀϋτέω,v,----------,,,,,,0
16635,α16851,ἀϋτή,v,----------,,,,,,0
16636,α00845,αὐτήκοος,a,aps---cn2-,αὐτήκοος αὐτήκοος αὐτήκοον,,,,,0
16637,α00878,αὐτῆμαρ,r,----------,,,,,,0
16638,α00849,αὐτημερόν,n,----------,,,,,,0
16639,α00866,αὐτίκα,r,----------,,,,,,0
16640,α00872,αὖτις,r,rp--------,αὖτις,,,/áu̯.tis/,,0
16641,α00873,αὐτίτης,a,----------,,,,,,0
16642,α16852,ἀϋτμενόπης,n,----------,,,,,,0
16643,α16853,ἀϋτμή,n,n-s---fn1e,ἀϋτμῆς,,,,,0
16644,α16854,ἀϋτμήν,n,----------,,,,,,0
16645,α00882,αὐτοαγαθός,a,aps---mn1-,αὐτοαγαθός αὐτοαγαθή αὐτοαγαθόν,,,,,0
16646,α00881,αὐτοαγαθόν,n,----------,,,,,,0
16647,α00883,αὐτοαγαθότης,n,n-s---fn3t,αὐτοαγαθότητος,,,,,0
16648,α00884,αὐτοάδης,n,----------,,,,,,0
16649,α00885,αὐτοαήρ,n,----------,,,,,,0
16651,α00887,αὐτοαληθῶς,n,----------,,,,,,0
16652,α00888,αὐτοάλφα,n,----------,,,,,,0
16653,α00889,αὐτοάνθρωπος,n,n-s---mn2-,αὐτοανθρώπου,,,,,0
16654,α00890,αὐτοάνισον,n,n-s---nn2-,αὐτοανίσου,,,,,0
16656,α00892,αὐτοαπειρία,n,n-s---fn1l,αὐτοαπειρίας,,,,,0
16620,α00830,αὐτεξουσιότης,n,n-s---fn3t,αὐτεξουσιότητος,,,,,0
16669,α00904,αὐτοβορέας,n,n-s---mn1a,αὐτοβορέου,,,,,0
16670,α00906,αὐτοβούλησις,n,n-s---fn3v,αὐτοβουλησέως,,,,,0
16716,α00952,αὐτοδιηγούμενος,a,aps---mn1-,αὐτοδιηγούμενος αὐτοδιηγουμένη αὐτοδιηγούμενον,,,,,0
16766,α01002,αὐτόθεν,r,----------,,,,,,0
16767,α01003,αὐτόθεος,n,n-s---mn2-,αὐτοθέου,,,,,0
16814,α01049,αὐτοκρατορικός,a,aps---mn1-,αὐτοκρατορικός αὐτοκρατορική αὐτοκρατορικόν,,,,,0
16862,α01098,αὐτομολέω,v,----------,,,,,,0
16863,α01099,αὐτομόλησις,n,n-s---fn3v,αὐτομολησέως,,,,,0
16911,α01147,αὐτοπόκιστος,a,aps---cn2-,αὐτοπόκιστος αὐτοπόκιστος αὐτοπόκιστον,,,,,0
16958,α01196,αὐτοσμικρόν,n,----------,,,,,,0
16960,α01198,αὐτοσοφία,n,n-s---fn1l,αὐτοσοφίας,,,,,0
17002,α01241,αὐτότης,n,n-s---fn3t,αὐτότητος,,,,,0
17012,α00879,αὐτοῦ,r,----------,,,,/au̯.tôː/,,0
17050,α01286,αὐτόφως,n,n-s---nn3d,αὐτόφωτος,,,,,0
17051,α01287,αὐτοχάρακτος,a,----------,,,,,,0
17100,α01351,αὐχμή,n,n-s---fn1e,αὐχμῆς,,,,,0
17101,α01353,αὐχμήεις,a,aps---mn4i,αὐχμήεις αὐχμήεσσα αὐχμήεν,,,,,0
17156,α16892,ἀφάνισις,n,n-s---fn3v,ἀφανισέως,,,,,0
17212,α16946,ἀφέλεια,n,n-s---fn1s,ἀφέλειας,,,,,0
17213,α16947,ἀφελής,a,aps---cn5s,ἀφελής ἀφελής ἀφελές,,,,,0
17214,α16948,ἀφελκόω,v,----------,,,,,,0
17266,α16999,ἀφέωνται,n,----------,,,,,,0
17267,α17000,ἁφή,n,n-s---fn1e,ἁφῆς,,,,,0
17323,α17055,ἀφίδρυμα,n,n-s---nn3t,ἀφιδρύματος,,,,,0
17324,α17056,ἀφίδρυσις,n,n-s---fn3v,ἀφιδρυσέως,,,,,0
17373,α17105,ἀφιλοτιμία,n,n-s---fn1l,ἀφιλοτιμίας,,,,,0
17374,α17106,ἀφιλότιμος,a,aps---cn2-,ἀφιλότιμος ἀφιλότιμος ἀφιλότιμον,,,,,0
17423,α17156,ἀφολκή,n,n-s---fn1e,ἀφολκῆς,,,,,0
17425,α17158,ἀφομιλέω,v,----------,,,,,,0
