nd distinguished pupil of Plato, from Stagira, in Macedonia, teacher of Alexander the Great, and founder of the Peripatetic philosophy",
34592,05589074,n,9,a passing state of anger and resentment,1502
34594,05589301,n,9,a persisting angry mood,1502
34595,05589430,n,9,anger produced by some annoying irritation,1502
34598,05589957,n,9,an exasperated feeling of annoyance,1502
34601,05590744,n,9,fear resulting from the awareness of danger,1502
34604,05591212,n,9,intense and profound fear,1502
34605,05591290,n,9,excessive or uncontrollable fear,1502
34606,05591377,n,9,an overwhelming feeling of fear and anxiety,1502
34607,05591481,n,9,a profound fear inspired by a deity,1502
34608,05591591,n,9,a sudden attack of fear,1502
34609,05591681,n,9,fear that affects a person about to face an audience,1502
34611,05592071,n,9,a feeling of alarm or dread,1502
34614,05592546,n,9,a foreboding about what is about to happen,1502
34615,05592642,n,9,apprehension about what is going to happen,1502
34616,05592739,n,9,fear of the unknown or unfamiliar and of making decisions,1502
34617,05592914,n,9,a feeling of fear of embarrassment,1502
34618,05593002,n,9,lack of self-confidence,1502
34619,05593183,n,9,a feeling of diffidence about doing something,1502
34620,05593296,n,9,diffidence about self promotion,1502
34621,05593389,n,9,the feeling of being intimidated,1502
34564,05585046,n,9,"emotional or moral sensitivity (especially in relation to personal principles or dignity); ""the remark hurt his feelings""",1502
34622,05593480,n,9,a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune,1502
146301,L3510648,n,1,"a galley with five banks of oars, quinquereme","1942,1948"
149164,L8807434,v,1,offer sacrifice after which comitia could be held,"1565,1820"
145307,L1172704,n,1,a metallic rattle used by the Egyptians in celebrating the rites of Isis,1565
36232,05825615,n,9,small lean-fleshed fish of North American Pacific coast,1957
149064,W0005494,n,10,"""La competitivita' europea e' basta sull'apertura dei mercati esteri in cui vengone applicate regole eque.""",1753
36240,05826549,n,9,North Atlantic rockfish,1957
36242,05826819,n,9,lean-fleshed fish,1957
36243,05826891,n,9,lean flesh of food and game fishes of United States Atlantic coast,"1957,2188"
36250,05828095,n,9,lobster tail meat; usually from spiny rock lobsters,1957
36251,05828205,n,9,unfertilized lobster roe; reddens in cooking; used as garnish or to color sauces,1957
36286,05833110,n,9,small fatty European fish; usually smoked or canned like sardines,"1957,2188"
36287,05833257,n,9,minnows or other small fresh- or salt-water fish (especially herring); usually cooked whole,1957
36288,05833404,n,9,fish eggs or egg-filled ovary; having a grainy texture,1957
36289,05833573,n,9,fish sperm or sperm-filled reproductive gland; having a creamy texture,1957
36302,05835638,n,9,ground oil cake,2354
36291,05833864,n,9,roe of beluga sturgeon usually from Russia; highly valued,"1957,2188"
36292,05834000,n,9,roe of shad; may be parboiled or baked or sauteed gently,"1957,2188"
36301,05835437,n,9,mass of e.g. linseed or cottonseed or soybean from which the oil has been pressed; used as food for livestock,2354
36290,05833705,n,9,salted roe of sturgeon or other large fish; usually served as an hors d'oeuvre,1957
36244,05827050,n,9,mollusk with a low conical shell,1957
36245,05827135,n,9,flesh of a lobster,"1957,2202"
36247,05827543,n,9,similar to but smaller than American lobsters,"1957,2202"
36252,05828356,n,9,edible greenish substance in boiled lobster,1957
36253,05828473,n,9,small fatty fish usually canned,1957
36254,05828569,n,9,any of various edible decapod crustaceans,"1957,2202"
36255,05828727,n,9,large Australian prawn,"1957,2202"
36256,05828826,n,9,flesh of any of several primarily freshwater game and food fishes,1957
36257,05828979,n,9,flesh of pacific trout that migrate from salt to fresh water,"1957,2188"
36258,05829118,n,9,flesh of marine trout that migrate from salt to fresh water,"1957,2188"
36259,05829267,n,9,freshwater fish,"1957,2188"
36260,05829376,n,9,flesh of large trout of northern lakes,"1957,2188"
36262,05829670,n,9,(Britain) any market fish--edible saltwater fish or shellfish--except herring,1957
36263,05829803,n,9,cold-water fish caught in Lake Superior and northward,"1957,2188"
36264,05829942,n,9,(British) any of several coarse fishes (such as dogfish or wolffish) when used as food,1957
36265,05830086,n,9,flesh of any of various marine or freshwater fish of the family Salmonidae,"1957,2188"
36267,05830500,n,9,fatty red flesh of salmon of Pacific coast and rivers,"1957,2188"
36268,05830656,n,9,pink or white flesh of large Pacific salmon,"1957,2188"
36269,05830803,n,9,fatty pinkish flesh of small salmon caught in the Pacific and Great Lakes,"1957,2188"
36270,05830984,n,9,salmon cured by smoking or in a smoky brine,1957
36271,05831105,n,9,brine-cured salmon,1957
36272,05831209,n,9,salt-cure lox,1957
36273,05831285,n,9,sugar-cure lox,1957
36274,05831361,n,9,flesh of any of various important food fishes of warm seas,"1957,2188"
36275,05831529,n,9,highly esteemed reddish lean flesh of snapper from Atlantic coast and Gulf of Mexico,"1957,2188"
36276,05831690,n,9,red flesh of large food fish of Pacific coast,"1957,2188"
36278,05832038,n,9,muscle of large deep-water scallops,"1957,2188"
36279,05832150,n,9,muscle of small choice shallow-water scallops,"1957,2188"
36280,05832272,n,9,salted and smoked salmon,1957
36281,05832358,n,9,a dried and smoked herring having a reddish color,1957
36284,05832853,n,9,common smelt of eastern North America and Alaska,"1957,2188"
36285,05832997,n,9,common smelt of Europe,"1957,2188"
36293,05834130,n,9,mackerel cured by smoking,1957
36294,05834217,n,9,food for domestic livestock,2354
36296,05834735,n,9,feed given to young animals isolated in a creep,2354
36297,05834839,n,9,coarse food (especially for cattle and horses) composed of entire plants or the leaves and stalks of a cereal crop,2354
36298,05835078,n,9,grain grown for cattle feed,2354
36299,05835162,n,9,animal food for browsing or grazing,2354
36300,05835289,n,9,fodder harvested while green and kept succulent by partial fermentation as in a silo,2354
36249,05827931,n,9,caught in European waters; slenderer than American lobster,"1957,2202"
36303,05835708,n,9,leguminous plant grown for hay or forage,2354
36304,05835821,n,9,a bean plant cultivated for use animal fodder,2354
36305,05835955,n,9,grass mowed and cured for use as fodder,2354
36342,05841018,n,9,the combination prepared as prepared as a particular chef's specialty,1957
36306,05836062,n,9,a grass grown for hay,2354
36307,05836156,n,9,the dried stalks and leaves of a field crop (especially corn) used as animal fodder after the grain has been harvested,2354
36308,05836327,n,9,cereal grain suitable as food for human beings,1957
36309,05836645,n,9,grain intended to be or that has been ground,1957
36310,05836741,n,9,the hulled and crushed grain of various cereals,1957
36311,05836841,n,9,small seed of any of various annual cereal grasses especially Setaria italica,1957
36312,05836971,n,9,a grain of barley,1957
36313,05837091,n,9,barley ground into small round pellets,1957
36315,05837286,n,9,(Turkey) parched crushed wheat,1957
36319,05837941,n,9,grains used as food either unpolished or more often polished,1957
36320,05838125,n,9,unpolished rice retaining the yellowish-brown outer layer,1957
36321,05838239,n,9,having husk or outer brown layers removed,1957
36323,05838482,n,9,rice in the husk either gathered or still in the field,1957
36324,05838588,n,9,wet feed (especially for pigs) consisting of mostly kitchen waste mixed with water or skimmed or sour milk,2354
36325,05838782,n,9,mixture of ground animal feeds,2354
36326,05838881,n,9,dry mash for poultry,2354
36327,05838970,n,9,food of a ruminant regurgitated to be chewed again,2354
36328,05839086,n,9,seeds for birds,2354
36329,05839186,n,9,food prepared for pets,2354
36330,05839309,n,9,nuts of forest trees used as feed for swine,2354
36331,05839403,n,9,food prepared for dogs,2354
36332,05839498,n,9,food especially prepared for puppies,2354
36333,05839591,n,9,food prepared for cats,2354
36334,05839679,n,9,a mixture of seeds used to feed caged birds,2354
36336,05840192,n,9,salad tossed with a dressing,1957
36337,05840333,n,9,salad composed primarily of greens,1957
36338,05840425,n,9,typically having fried croutons and dressing made with a raw egg,1957
36339,05840548,n,9,cooked meats and eggs and vegetables usually arranged in rows around the plate and dressed with a salad dressing,1957
36340,05840717,n,9,typically containing tomatoes and anchovies and garnished with black olives and capers,1957
148622,L8944576,n,1,"a town on the southern coast of Thrace, not far from the mouth of the Nestus, noted for the stupidity of its inhabitants",2775
148332,L8310858,n,1,"a celebrated river of Middle Greece, which, rising in Pindus, separates Aetolia from Acarnania, and empties into the Ionian Sea, now the Aspropotamo",2775
146814,L4760528,n,1,"a city of Apulia, southeast of Luceria, now Troja",2775
147036,L5259425,n,1,"a city of Thrace, south-east of the Palus Stentoris, through which one of the mouths of the Hebrus falls into the sea, now Enos",2775
37120,05949269,n,9,black coffee with cognac and lemon peel and sugar,2354
37121,05949391,n,9,a punch made of fruit juices mixed with water or soda water (with or without alcohol),2354
37122,05949534,n,9,a punch made of spirits and milk and sugar and spices,2354
147528,L6463240,n,1,"the chief river in the Peloponnesus, now Rufia",2775
146241,L3379102,n,1,"a small river in the Thessalian province of Phthiotis, near which Apollo fed the flocks of Admetus",2775
38433,06171879,n,9,a governing board elected or appointed to direct the policies of an educational institution,"1718,1820"
38434,06172034,n,9,the 7-member board governing the Federal Reserve System,1820
148701,L9161408,n,1,"a people in Spain, whose chief city was Aquoe Calidoe, now Caldes",2775
38450,06174740,n,9,a committee appointed to consider ethical issues,1820
38451,06174866,n,9,a committee appointed to consider financial issues,"1782,1820"
145519,L1655627,n,1,"a Lydian maiden, who challenged Minerva to a trial of skill in spinning, and, as a punishment, was changed by the goddess into a spider",1666
146175,L3238697,n,1,"daughter of Minos, king of Crete, who extricated Theseus from the Labyrinth, and accompanied him on his return to Greece, but was deserted by him at Naxos, where Bacchus fell in love with her and placed her crown as a constellation in the heavens",2775
146800,L4728169,n,1,"a small town in Campania, on the coast between Cumoe and Puteoli, a favorite resort of the Romans on account of its warm baths and pleasant situation",2775
147422,L6205400,n,1,"a mountain on the banks of the river Sangarius, in Phrygia, sacred to Cybele",2775
147908,L7298731,n,1,"a large but gently-flowing river in Sarmatia, which empties into the Black Sea, now the Dnieper",2775
147816,L7075172,n,1,"a town in north-west Spain, now La Coruña",2775
146783,L4681488,n,1,"a town in Egypt, on the Pelusian arm of the Nile, now Tel-Basta, in the vicinity of the village Benalhassar",2775
146390,L3723399,n,1,"son of Vulcan, contemporary with Evander, a giant of immense physical strength, who dwelt in a cave on Mount Aventinus, and troubled the whole region around by his robberies",2775
